age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
19-25,Female,Student in College,7,7,2.5,4,2,0.0,-1.0,0.5,0.5,0.0,0.5,1000,1101,Complete Physical Attendance,No,0
19-25,Male,Student in College,5,7,0.5,3,4,0.0,-1.0,1.0,1.0,-0.5,0.0,100,1111,Complete Physical Attendance,Maybe,0
0-18,Male,Student in School,7,5,0.5,4,2,-0.5,-1.0,0.5,0.5,-0.5,0.0,10,1000,Complete Physical Attendance,No,0
19-25,Female,Student in College,5,5,2.5,2,2,0.5,0.5,-0.5,0.5,-1.0,0.0,1100,1101,Complete Physical Attendance,Yes,0
19-25,Female,Student in College,9,11,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.0,1110,1111,Complete Physical Attendance,No,0
19-25,Female,Student in College,5,5,0.5,3,3,0.0,0.5,0.0,0.5,-0.5,0.0,100,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Working Professional,9,7,0.5,3,3,0.5,-1.0,0.0,0.5,0.5,1.0,1001,1101,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,5,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.0,0.5,100,1111,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,12,0.5,5,5,0.0,-0.5,0.5,1.0,-1.0,0.5,100,1111,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,11,0.5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1111,Complete Physical Attendance,Maybe,0
0-18,Female,Student in College,9,7,1.5,4,4,-1.0,-1.0,0.5,0.5,0.5,0.5,10,1000,Complete Physical Attendance,Yes,0
0-18,Male,Student in College,5,7,0.5,4,5,0.0,0.0,-0.5,0.5,-0.5,-0.5,100,1111,Complete Physical Attendance,Yes,0
19-25,Female,Student in College,5,5,0.5,4,3,0.0,-0.5,0.5,0.5,-1.0,-0.5,1100,111,Complete Physical Attendance,Maybe,0
0-18,Male,Student in College,9,7,0.5,3,2,-0.5,0.5,1.0,1.0,-0.5,0.0,11,1100,Complete Physical Attendance,Maybe,0
0-18,Male,Student in College,7,7,0.5,5,2,-1.0,-1.0,0.5,1.0,-1.0,0.5,1000,1111,Complete Physical Attendance,Maybe,0
0-18,Female,Student in College,4,9,0.5,1,2,-1.0,-1.0,1.0,-0.5,0.5,0.5,101,1100,Work/study from home,Yes,0
0-18,Male,Student in College,5,5,1.5,4,4,-0.5,-0.5,0.0,0.5,-0.5,0.0,1000,1011,Complete Physical Attendance,Maybe,0
19-25,Female,Student in College,5,7,1.5,3,2,0.5,-0.5,-0.5,0.0,0.0,0.0,1000,1100,Complete Physical Attendance,Maybe,0
0-18,Male,Student in College,7,7,0.5,3,2,-0.5,0.0,-0.5,1.0,0.0,0.0,1110,1000,Work/study from home,Yes,0
33-40,Female,Homemaker,4,4,1.5,4,2,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1000,1100,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,7,1.5,3,3,0.0,0.0,-0.5,1.0,-0.5,0.0,1111,1110,Complete Physical Attendance,No,0
0-18,Female,Student in School,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1111,1011,Complete Physical Attendance,Yes,0
0-18,Male,Student in College,9,5,0.5,4,4,-0.5,0.5,0.5,0.5,-0.5,0.0,1110,1011,Complete Physical Attendance,Yes,0
0-18,Male,Student in College,7,5,0.5,4,5,-1.0,-1.0,0.5,1.0,-0.5,0.5,1000,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,5,5,0.5,2,2,0.0,-0.5,0.5,0.5,-1.0,0.0,100,1111,Work/study from home,Maybe,0
19-25,Male,Student in College,7,5,0.5,2,1,0.0,-1.0,0.5,0.5,-0.5,0.0,1110,1,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,9,7,3.0,3,3,0.5,-1.0,0.5,0.0,-0.5,-0.5,1001,1,Work/study from home,Yes,0
19-25,Male,Student in College,5,7,0.5,4,2,0.0,0.0,0.5,0.0,-0.5,-0.5,1000,1111,Complete Physical Attendance,Maybe,0
19-25,Female,Student in College,7,9,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,100,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,7,9,0.5,3,1,0.0,-0.5,1.0,0.5,0.0,0.0,1100,1001,Complete Physical Attendance,Yes,0
0-18,Male,Student in College,12,12,0.5,5,5,-1.0,0.0,0.0,0.0,0.0,0.0,1000,10,Complete Physical Attendance,No,0
0-18,Female,Student in College,11,7,2.5,4,5,-0.5,0.0,-0.5,1.0,0.0,1.0,101,1010,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,7,2.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Complete Physical Attendance,Maybe,0
19-25,Female,Student in College,5,4,0.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,10,1101,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,5,7,0.5,4,3,0.0,0.5,0.5,0.5,-0.5,0.0,1110,1111,Complete Physical Attendance,Maybe,0
19-25,Female,Student in College,5,7,0.5,4,4,0.5,-1.0,0.5,1.0,0.0,-0.5,1000,1111,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,5,9,0.5,5,3,0.0,0.5,-0.5,0.5,-0.5,-0.5,10,1000,Work/study from home,Maybe,0
0-18,Male,Student in College,7,9,1.5,4,3,0.0,0.0,0.5,0.5,0.0,0.0,1100,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,7,11,2.5,2,1,0.5,-1.0,-1.0,0.5,0.5,0.5,1110,1101,Work/study from home,Yes,0
0-18,Female,Student in College,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Complete Physical Attendance,Maybe,0
0-18,Female,Student in College,5,4,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,7,5,0.5,4,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1101,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,4,1.5,3,3,-0.5,-0.5,0.5,0.0,0.5,1.0,1010,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,5,4,0.5,2,5,-1.0,-1.0,1.0,0.5,1.0,1.0,1111,1000,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,7,9,0.5,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,7,1.5,3,3,0.0,0.5,-0.5,1.0,-0.5,0.0,111,1111,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,5,1.5,3,3,0.0,-1.0,0.0,1.0,0.5,1.0,1000,1100,Complete Physical Attendance,Maybe,0
19-25,Female,Currently Out of Work,7,4,0.5,2,4,-0.5,-0.5,-0.5,0.5,0.0,0.0,100,1111,Complete Physical Attendance,Yes,0
19-25,Female,Student in College,7,5,2.5,1,5,-1.0,-0.5,0.5,0.5,-0.5,0.0,100,1111,Complete Physical Attendance,No,0
0-18,Male,Student in College,5,4,0.5,1,3,-0.5,-0.5,-0.5,0.5,0.5,0.5,1100,1001,Complete Physical Attendance,Maybe,0
19-25,Female,Student in College,9,5,1.5,3,5,-0.5,-0.5,0.5,0.5,0.0,0.5,10,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,5,7,0.5,2,3,0.0,-1.0,0.0,1.0,0.0,0.0,100,1101,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,9,0.5,3,3,0.0,0.5,-0.5,0.5,0.5,0.5,1000,1110,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,9,5,3.0,3,3,-0.5,0.0,0.5,0.5,0.5,0.0,1111,1101,Complete Physical Attendance,Maybe,0
19-25,Male,Working Professional,7,9,0.5,2,4,0.0,0.5,-0.5,0.0,-0.5,0.0,1010,1011,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,7,1.5,3,4,-0.5,0.5,1.0,1.0,-0.5,-0.5,1010,1110,Complete Physical Attendance,Yes,0
19-25,Female,Currently Out of Work,7,4,0.5,2,3,0.0,-1.0,0.5,1.0,0.0,0.0,1111,1000,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,9,4,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,1111,1111,Complete Physical Attendance,Maybe,0
19-25,Male,Currently Out of Work,9,4,1.5,5,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1000,1,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,5,5,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,5,4,0.5,2,3,0.0,-0.5,0.0,0.0,0.0,0.0,1010,1110,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,4,0.5,3,4,-0.5,-1.0,0.5,0.5,-0.5,0.5,1110,1111,Complete Physical Attendance,No,0
40-50,Female,Homemaker,7,9,0.5,3,3,0.0,-0.5,0.5,1.0,0.5,-0.5,1100,101,Complete Physical Attendance,Yes,0
40-50,Male,Working Professional,9,11,2.5,3,3,-0.5,-0.5,1.0,0.5,-1.0,0.5,1100,1001,Complete Physical Attendance,Yes,0
19-25,Female,Student in College,7,4,1.5,2,4,-0.5,0.5,0.0,1.0,-1.0,0.0,100,10,Complete Physical Attendance,No,0
0-18,Male,Student in College,7,5,0.5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,10,1000,Complete Physical Attendance,Maybe,0
0-18,Male,Student in School,11,7,0.5,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1010,1111,Complete Physical Attendance,No,0
0-18,Female,Student in College,4,4,1.5,1,3,0.0,-0.5,1.0,0.5,0.0,0.0,1111,1111,Complete Physical Attendance,Yes,0
0-18,Male,Student in School,7,7,0.5,1,3,0.0,-0.5,0.5,0.0,0.5,-0.5,1010,1110,Complete Physical Attendance,No,0
0-18,Male,Student in School,7,7,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.5,10,1,Complete Physical Attendance,Maybe,0
0-18,Female,Student in College,7,5,0.5,3,4,0.0,0.5,0.5,0.5,-0.5,0.5,1,10,Complete Physical Attendance,No,0
0-18,Male,Student in College,4,5,1.5,2,5,-1.0,-0.5,1.0,0.0,-1.0,0.5,1000,1000,Complete Physical Attendance,Maybe,0
0-18,Male,Student in College,4,7,0.5,4,4,0.0,-1.0,0.5,0.5,0.0,0.5,1100,1001,Complete Physical Attendance,Maybe,0
0-18,Female,Student in College,9,12,0.5,3,2,0.0,0.5,0.0,0.5,0.0,-0.5,1100,1001,Complete Physical Attendance,No,0
26-32,Female,Working Professional,7,9,1.5,2,2,0.5,-0.5,1.0,0.0,-0.5,0.0,10,1011,Work/study from home,Maybe,0
19-25,Male,Student in College,7,7,0.5,1,1,-0.5,0.0,1.0,1.0,0.0,0.0,100,1000,Work/study from home,Yes,0
0-18,Male,Student in College,9,5,0.5,2,2,-0.5,0.0,0.5,0.5,0.5,0.0,1100,1111,Complete Physical Attendance,Yes,0
50-60,Male,Retired/Senior Citizen,12,12,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1000,1,Complete Physical Attendance,No,0
19-25,Male,Student in College,5,4,0.5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1000,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,9,4,2.5,1,1,0.0,-0.5,0.5,0.0,0.0,0.0,1010,1011,Complete Physical Attendance,Maybe,0
50-60,Male,Working Professional,9,11,2.5,4,3,-0.5,-0.5,0.5,0.5,0.0,0.5,1100,1101,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,7,2.5,3,3,0.0,-0.5,0.5,0.5,0.0,0.0,1000,1,Complete Physical Attendance,Maybe,0
19-25,Male,Student in College,4,7,0.5,4,3,0.5,-0.5,0.0,0.0,-0.5,0.5,1000,1101,Complete Physical Attendance,Yes,0
40-50,Female,Homemaker,5,9,0.5,1,2,0.5,0.0,0.5,0.5,0.0,0.0,100,10,Work/study from home,Maybe,0
0-18,Male,Student in College,7,9,0.5,4,3,-0.5,-1.0,0.5,0.5,-0.5,0.0,100,1110,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,5,1.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,100,Complete Physical Attendance,No,0
19-25,Male,Student in College,9,4,0.5,3,3,0.5,-0.5,0.5,0.5,0.5,0.0,111,1100,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,11,0.5,3,3,1.0,-1.0,1.0,-1.0,-1.0,1.0,10,1111,Complete Physical Attendance,Maybe,0
0-18,Male,Student in College,7,5,1.5,5,5,0.0,0.5,-0.5,0.0,-0.5,-0.5,100,1111,Complete Physical Attendance,Maybe,0
50-60,Female,Homemaker,7,9,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,100,100,Work/study from home,Maybe,0
19-25,Male,Student in College,7,5,1.5,1,4,-0.5,-0.5,0.0,0.0,0.0,0.0,1010,1100,Work/study from home,Maybe,0
19-25,Male,Student in College,7,4,0.5,2,3,0.0,0.0,-1.0,1.0,0.0,-1.0,100,101,Work/study from home,Yes,0
0-18,Male,Student in School,7,5,0.5,4,2,-0.5,0.0,0.5,1.0,0.0,0.0,100,1000,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,4,0.5,1,1,0.0,0.0,1.0,0.0,-1.0,1.0,10,1111,Complete Physical Attendance,Yes,0
0-18,Female,Student in College,7,12,1.5,1,3,1.0,-1.0,0.0,-1.0,1.0,-0.5,1111,1100,Work/study from home,Yes,0
19-25,Male,Working Professional,9,9,0.5,4,2,-0.5,-0.5,1.0,0.0,-0.5,0.5,1000,1110,Complete Physical Attendance,Maybe,0
40-50,Female,Medical Professional aiding efforts against COVID-19,9,4,2.5,3,5,-0.5,0.0,0.0,0.5,0.0,0.0,10,1000,Complete Physical Attendance,No,0
50-60,Male,Working Professional,11,11,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,Work/study from home,Yes,0
26-32,Male,Working Professional,9,9,1.5,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Complete Physical Attendance,No,0
26-32,Male,Entrepreneur,5,5,0.5,3,4,-0.5,-1.0,0.5,0.0,0.0,0.0,1111,1101,Complete Physical Attendance,Yes,0
26-32,Male,Working Professional,7,5,1.5,3,3,-0.5,0.0,0.5,0.5,0.5,0.5,100,1000,Work/study from home,No,0
33-40,Male,Working Professional,7,7,3.0,2,5,-0.5,0.5,-0.5,0.5,0.5,0.5,1000,100,Complete Physical Attendance,Yes,0
50-60,Male,Working Professional,9,9,0.5,2,4,-1.0,0.0,0.5,0.5,-0.5,0.0,1100,1,Complete Physical Attendance,Yes,0
40-50,Male,Working Professional,9,11,0.5,2,2,0.5,0.0,0.0,1.0,0.0,0.0,1100,1111,Complete Physical Attendance,No,0
26-32,Prefer not to say,Working Professional,11,11,2.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,1001,Complete Physical Attendance,Maybe,0
40-50,Male,Working Professional,7,9,0.5,2,2,-0.5,0.0,0.5,0.5,0.0,0.5,1100,1010,Complete Physical Attendance,Yes,0
40-50,Male,Working Professional,9,12,1.5,2,1,1.0,0.0,-0.5,-0.5,0.5,0.0,1000,1,Work/study from home,Yes,0
26-32,Male,Working Professional,9,12,0.5,3,3,0.0,-1.0,0.0,0.0,0.0,0.0,1100,1111,Complete Physical Attendance,Yes,0
26-32,Male,Working Professional,9,11,0.5,3,2,0.0,0.0,-0.5,1.0,0.5,0.0,1111,1010,Complete Physical Attendance,Yes,0
19-25,Male,Working Professional,9,4,0.5,2,2,0.5,-0.5,0.0,1.0,-1.0,-0.5,100,1101,Complete Physical Attendance,Yes,0
50-60,Female,Working Professional,9,11,1.5,3,2,0.0,-0.5,0.5,0.0,0.0,0.0,1000,11,Complete Physical Attendance,No,0
50-60,Male,Working Professional,9,5,1.5,2,1,-0.5,-0.5,-0.5,0.5,0.0,0.5,1000,11,Complete Physical Attendance,Yes,0
26-32,Male,Working Professional,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,Complete Physical Attendance,Yes,0
26-32,Female,Working Professional,7,7,1.5,3,3,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,Work/study from home,Yes,0
40-50,Female,Entrepreneur,9,9,0.5,1,1,0.0,0.0,-0.5,1.0,1.0,0.0,1001,10,Work/study from home,Yes,0
40-50,Male,Working Professional,9,9,0.5,3,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,1,Complete Physical Attendance,Yes,0
33-40,Male,Entrepreneur,5,4,0.5,1,2,0.0,-1.0,0.5,0.5,0.5,-0.5,1000,100,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,9,0.5,5,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1110,Complete Physical Attendance,Yes,0
40-50,Female,Entrepreneur,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,Complete Physical Attendance,Yes,0
33-40,Male,Working Professional,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,Complete Physical Attendance,No,0
33-40,Female,Homemaker,5,9,0.5,5,3,0.5,-0.5,0.0,1.0,-0.5,-0.5,100,100,Work/study from home,Yes,0
26-32,Male,Currently Out of Work,5,4,2.5,4,4,-1.0,0.5,0.0,0.5,-0.5,-0.5,100,1101,Complete Physical Attendance,No,0
40-50,Male,Working Professional,11,9,1.5,2,1,0.0,-0.5,0.5,0.5,0.5,0.5,1100,1100,Work/study from home,Yes,0
50-60,Female,Working Professional,7,5,2.5,1,3,0.0,0.0,0.0,0.0,0.5,0.5,1100,100,Work/study from home,Yes,0
50-60,Male,Working Professional,7,7,1.5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Work/study from home,Maybe,0
50-60,Female,Medical Professional aiding efforts against COVID-19,7,5,0.5,3,2,-0.5,-0.5,0.5,-0.5,-0.5,0.5,1100,1,Complete Physical Attendance,No,0
33-40,Male,Working Professional,9,9,2.5,3,1,0.0,0.0,0.0,0.5,0.0,0.0,1101,1001,Work/study from home,Maybe,0
50-60,Male,Working Professional,7,9,0.5,4,4,0.0,0.0,0.5,0.5,0.0,0.5,1000,11,Work/study from home,Yes,0
33-40,Male,Working Professional,9,9,0.5,2,3,0.5,-0.5,0.0,1.0,0.5,0.0,1110,110,Complete Physical Attendance,Yes,0
50-60,Male,Entrepreneur,9,12,0.5,1,2,0.0,-0.5,0.5,0.5,0.0,-0.5,1000,1000,Work/study from home,Yes,0
50-60,Male,Working Professional,9,9,1.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1000,11,Work/study from home,Yes,0
33-40,Male,Working Professional,9,9,0.5,2,3,0.5,-0.5,0.0,1.0,0.5,0.0,1110,110,Complete Physical Attendance,Yes,0
33-40,Female,Medical Professional aiding efforts against COVID-19,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,Complete Physical Attendance,Maybe,0
26-32,Female,Entrepreneur,5,9,1.5,1,2,0.5,0.0,0.5,0.5,-0.5,-0.5,100,11,Complete Physical Attendance,Maybe,0
26-32,Male,Entrepreneur,7,9,1.5,1,2,1.0,-0.5,0.5,-0.5,-0.5,0.0,100,1001,Complete Physical Attendance,Yes,0
40-50,Male,Working Professional,9,11,1.5,4,2,-0.5,-0.5,0.5,1.0,0.5,0.5,1100,1111,Complete Physical Attendance,No,0
19-25,Male,Student in College,12,11,1.5,2,3,0.0,-0.5,0.0,0.0,-0.5,0.5,1000,1111,Work/study from home,Yes,0
19-25,Male,Student in College,7,4,0.5,1,1,0.0,0.0,0.5,0.5,0.5,0.0,1100,1111,Complete Physical Attendance,Maybe,0
0-18,Male,Student in College,5,4,0.5,3,2,0.0,-0.5,0.0,0.5,-0.5,0.0,1001,1111,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,5,5,0.5,1,3,0.0,0.0,0.5,0.5,-0.5,0.5,1011,1000,Complete Physical Attendance,Yes,0
0-18,Male,Student in College,7,4,0.5,4,5,-0.5,0.0,0.0,0.5,0.0,0.5,100,1,Complete Physical Attendance,Yes,0
33-40,Male,Working Professional,9,9,0.5,5,5,-1.0,0.0,0.5,0.5,-0.5,0.0,1110,1011,Complete Physical Attendance,Yes,0
19-25,Male,Student in College,7,7,0.5,1,3,0.5,-0.5,-0.5,0.0,0.0,0.5,1010,1111,Complete Physical Attendance,Yes,0
26-32,Female,Working Professional,9,11,0.5,4,5,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Complete Physical Attendance,No,0
19-25,Male,Student in College,7,4,0.5,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,1110,111,Work/study from home,Yes,0
19-25,Male,Working Professional,9,11,0.5,4,5,0.0,-0.5,0.5,0.5,0.0,0.5,110,1101,Complete Physical Attendance,Yes,0
50-60,Male,Working Professional,9,9,1.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,1111,1110,Work/study from home,Yes,0
33-40,Female,Medical Professional aiding efforts against COVID-19,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,Complete Physical Attendance,Maybe,0
40-50,Female,Entrepreneur,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,Complete Physical Attendance,Yes,0
33-40,Male,Working Professional,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,Complete Physical Attendance,No,0
26-32,Male,Working Professional,9,11,0.5,1,5,1.0,-1.0,0.5,0.5,0.0,0.0,1111,1111,Complete Physical Attendance,Yes,0
33-40,Female,Medical Professional aiding efforts against COVID-19,5,7,1.5,4,4,-0.5,0.0,-0.5,0.5,-0.5,0.0,100,1011,Complete Physical Attendance,Maybe,0
40-50,Female,Entrepreneur,9,9,0.5,2,1,0.5,-0.5,-0.5,0.5,0.0,0.0,10,1,Complete Physical Attendance,Yes,0
33-40,Male,Working Professional,7,5,1.5,4,3,-1.0,0.5,0.0,1.0,0.5,0.0,100,1,Complete Physical Attendance,No,0
