age,gender,occupation,line_of_work,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,Unnamed: 19,time_bp.1,travel+work,avg_score,lifestyle_change,time_change
19-25,Male,Student in College,,1.5,2,3,-0.5,-1.0,-1.0,0.5,0.0,0.5,1000,1100,Complete Physical Attendance,No,,9,,-0.25,-1,-2
19-25,Female,Student in College,,0.5,5,4,-0.5,0.0,0.0,0.0,0.0,0.0,100,1011,Complete Physical Attendance,Yes,,5,,-0.08333333333333333,0,0
19-25,Male,Student in College,,0.5,4,4,0.5,0.5,1.0,0.0,-0.5,0.5,11,1011,Complete Physical Attendance,Yes,,4,,0.3333333333333333,1,1
19-25,Male,Student in College,,0.5,3,5,0.5,-0.5,0.0,0.5,0.0,0.0,110,1111,Complete Physical Attendance,Maybe,,5,,0.08333333333333333,0,2
33-40,Male,Working Professional,Teaching,0.5,4,3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1000,1010,Complete Physical Attendance,No,,9,,-0.8333333333333334,-1,2
60+,Prefer not to say,Entrepreneur,,3.0,5,5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,10,Complete Physical Attendance,No,,12,,-0.8333333333333334,-1,0
19-25,Female,Student in College,,0.5,4,4,0.5,1.0,0.5,1.0,1.0,1.0,1100,1000,Work/study from home,Maybe,,7,,0.8333333333333334,1,2
19-25,Male,Student in College,,0.5,5,4,-1.0,1.0,0.5,0.5,-0.5,0.0,1000,1111,Complete Physical Attendance,Yes,,7,,0.08333333333333333,0,-2
19-25,Male,Student in College,,0.5,4,3,-1.0,0.0,0.5,0.0,-0.5,0.0,1100,1101,Complete Physical Attendance,Yes,,7,,-0.16666666666666666,0,-3
19-25,Male,Student in College,,0.5,3,4,-0.5,0.0,0.0,0.0,0.0,0.0,1111,1,Work/study from home,Maybe,,12,,-0.08333333333333333,0,-5
19-25,Male,Student in College,,0.5,5,5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1000,1111,Complete Physical Attendance,No,,12,,-0.9166666666666666,-1,-8
19-25,Male,Student in College,,0.5,3,4,1.0,0.5,1.0,0.5,1.0,1.0,1010,1111,Work/study from home,Maybe,,5,,0.8333333333333334,1,0
19-25,Female,Student in College,,0.5,2,2,0.0,0.5,0.5,0.0,0.0,-0.5,1,101,Work/study from home,Yes,,7,,0.08333333333333333,0,0
19-25,Male,Student in College,,0.5,4,5,-0.5,-0.5,-1.0,-1.0,0.0,-1.0,10,1000,Complete Physical Attendance,Yes,,7,,-0.6666666666666666,-1,-2
19-25,Male,Entrepreneur,,1.5,2,2,0.5,-0.5,-0.5,0.5,-0.5,-0.5,1000,1,Work/study from home,Yes,,12,,-0.16666666666666666,0,0
19-25,Female,Student in College,,1.5,3,1,0.0,-0.5,0.0,0.0,0.0,-0.5,1000,1000,Work/study from home,Yes,,7,,-0.16666666666666666,0,2
19-25,Male,Student in College,,0.5,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1100,111,Complete Physical Attendance,Yes,,5,,0.8333333333333334,1,-1
19-25,Male,Student in College,,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,Complete Physical Attendance,No,,5,,0.16666666666666666,0,0
19-25,Male,Student in College,,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,Complete Physical Attendance,No,,5,,0.16666666666666666,0,0
19-25,Male,Student in College,,0.5,2,3,0.5,0.0,0.5,0.5,0.5,0.5,1010,1000,Work/study from home,Yes,,9,,0.4166666666666667,1,0
19-25,Male,Student in College,,0.5,3,3,-0.5,0.0,0.0,0.5,0.0,-0.5,1110,1111,Work/study from home,Yes,,5,,-0.08333333333333333,0,0
19-25,Male,Working Professional,Engineering,1.5,4,5,0.0,-0.5,-0.5,0.5,0.0,0.0,1100,1100,Complete Physical Attendance,Yes,,9,,-0.08333333333333333,0,2
19-25,Male,Student in College,,0.5,2,3,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,100,1000,Complete Physical Attendance,Yes,,5,,-0.8333333333333334,-1,-1
19-25,Male,Student in College,,0.5,4,4,-0.5,0.0,-0.5,0.5,-1.0,-0.5,1000,1101,Complete Physical Attendance,Maybe,,7,,-0.3333333333333333,-1,2
19-25,Male,Student in College,,0.5,4,4,-0.5,-0.5,0.0,0.5,0.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,5,,-0.08333333333333333,0,-1
19-25,Male,Student in College,,0.5,4,1,-0.5,-0.5,1.0,1.0,1.0,1.0,1110,1100,Complete Physical Attendance,Maybe,,7,,0.5,1,-3
19-25,Female,Student in College,,0.5,3,2,-0.5,-1.0,0.0,1.0,-0.5,0.5,1100,1100,Complete Physical Attendance,No,,9,,-0.08333333333333333,0,-5
19-25,Female,Working Professional,Engineering,0.5,2,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1101,Work/study from home,Yes,,9,,-0.8333333333333334,-1,3
Dec-18,Male,Student in School,,1.5,3,3,0.5,-1.0,0.5,-0.5,0.5,0.0,1111,1111,Complete Physical Attendance,No,,7,,0.0,0,-2
19-25,Male,Student in College,,1.5,2,2,-1.0,-0.5,-1.0,-0.5,-0.5,-1.0,1000,1000,Complete Physical Attendance,Yes,,5,,-0.75,-1,2
19-25,Male,Student in College,,2.5,4,3,0.0,0.0,0.0,1.0,1.0,1.0,1111,1100,Work/study from home,Yes,,7,,0.5,1,0
19-25,Male,Student in College,,0.5,4,3,0.0,-1.0,0.5,1.0,-1.0,0.0,1000,1111,Complete Physical Attendance,No,,7,,-0.08333333333333333,0,2
19-25,Prefer not to say,Retired/Senior Citizen,,2.5,3,3,0.5,-1.0,0.0,0.0,-1.0,0.0,1000,100,Complete Physical Attendance,Maybe,,4,,-0.25,-1,5
Dec-18,Male,Student in College,,1.5,3,5,-1.0,-1.0,1.0,0.0,-0.5,1.0,100,1111,Complete Physical Attendance,No,,7,,-0.08333333333333333,0,-3
26-32,Female,Working Professional,Teaching,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,Work/study from home,Yes,,9,,1.0,1,-2
19-25,Male,Student in College,,0.5,5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1,Complete Physical Attendance,Yes,,4,,-1.0,-1,3
19-25,Male,Student in College,,0.5,5,5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,10,1111,Complete Physical Attendance,No,,7,,-0.8333333333333334,-1,-3
19-25,Female,Student in College,,0.5,4,4,0.5,-0.5,-0.5,0.0,-0.5,0.0,100,11,Work/study from home,Yes,,7,,-0.16666666666666666,0,2
33-40,Male,Working Professional,Management,0.5,2,3,-0.5,-0.5,-1.0,-0.5,0.5,-0.5,100,100,Complete Physical Attendance,Yes,,9,,-0.4166666666666667,-1,-5
19-25,Male,Student in College,,0.5,2,2,0.0,-1.0,0.5,1.0,-0.5,0.0,1100,1101,Work/study from home,Yes,,7,,0.0,0,0
Dec-18,Female,Student in School,,2.5,3,4,-0.5,-1.0,0.5,0.0,0.5,0.0,1000,1001,Complete Physical Attendance,Yes,,7,,-0.08333333333333333,0,-3
19-25,Female,Student in College,,1.5,3,4,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,1001,1110,Complete Physical Attendance,No,,7,,-0.9166666666666666,-1,4
19-25,Female,Student in College,,2.5,4,2,0.0,-1.0,0.5,0.5,0.0,0.5,1000,1101,Complete Physical Attendance,No,,7,,0.08333333333333333,0,0
19-25,Female,Student in College,,0.5,5,5,-1.0,0.0,-1.0,-1.0,-0.5,-1.0,1,10,Complete Physical Attendance,No,,7,,-0.75,-1,0
19-25,Male,Student in College,,0.5,3,4,0.0,-1.0,1.0,1.0,-0.5,0.0,100,1111,Complete Physical Attendance,Maybe,,5,,0.08333333333333333,0,2
Dec-18,Male,Student in School,,0.5,4,2,-0.5,-1.0,0.5,0.5,-0.5,0.0,10,1000,Complete Physical Attendance,No,,7,,-0.16666666666666666,0,-2
19-25,Male,Student in College,,0.5,5,2,-1.0,-1.0,-0.5,1.0,-0.5,0.0,1110,1100,Complete Physical Attendance,Maybe,,7,,-0.3333333333333333,-1,5
19-25,Female,Student in College,,2.5,2,2,0.5,0.5,-0.5,0.5,-1.0,0.0,1100,1101,Complete Physical Attendance,Yes,,5,,0.0,0,0
19-25,Female,Student in College,,0.5,3,3,0.0,0.0,0.0,0.0,0.5,0.0,1110,1111,Complete Physical Attendance,No,,9,,0.08333333333333333,0,2
19-25,Female,Student in College,,0.5,2,3,0.0,-1.0,-0.5,0.0,-1.0,0.0,1100,1101,Complete Physical Attendance,Maybe,,5,,-0.4166666666666667,-1,7
19-25,Female,Student in College,,0.5,3,3,0.0,0.5,0.0,0.5,-0.5,0.0,100,1111,Complete Physical Attendance,Maybe,,5,,0.08333333333333333,0,0
19-25,Male,Working Professional,Engineering,0.5,3,3,0.5,-1.0,0.0,0.5,0.5,1.0,1001,1101,Complete Physical Attendance,Yes,,9,,0.25,0,-2
19-25,Male,Student in College,,0.5,3,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1000,1111,Complete Physical Attendance,No,,7,,-0.8333333333333334,-1,4
19-25,Male,Student in College,,1.5,3,3,-0.5,0.0,0.5,0.5,0.0,0.5,100,1111,Complete Physical Attendance,No,,5,,0.16666666666666666,0,0
19-25,Male,Student in College,,0.5,5,5,0.0,-0.5,0.5,1.0,-1.0,0.5,100,1111,Complete Physical Attendance,No,,7,,0.08333333333333333,0,5
19-25,Male,Student in College,,0.5,4,3,0.0,0.0,0.0,0.0,0.0,0.0,100,1111,Complete Physical Attendance,Maybe,,7,,0.0,0,4
19-25,Male,Student in College,,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Work/study from home,Yes,,9,,0.4166666666666667,1,-2
Dec-18,Female,Student in College,,1.5,4,4,-1.0,-1.0,0.5,0.5,0.5,0.5,10,1000,Complete Physical Attendance,Yes,,9,,0.0,0,-2
Dec-18,Male,Student in College,,0.5,4,5,0.0,0.0,-0.5,0.5,-0.5,-0.5,100,1111,Complete Physical Attendance,Yes,,5,,-0.16666666666666666,0,2
19-25,Female,Student in College,,0.5,5,3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1111,Complete Physical Attendance,Yes,,7,,-0.8333333333333334,-1,5
19-25,Female,Student in College,,0.5,4,3,0.0,-0.5,0.5,0.5,-1.0,-0.5,1100,111,Complete Physical Attendance,Maybe,,5,,-0.16666666666666666,0,0
Dec-18,Male,Student in College,,0.5,3,2,-0.5,0.5,1.0,1.0,-0.5,0.0,11,1100,Complete Physical Attendance,Maybe,,9,,0.25,0,-2
Dec-18,Male,Student in College,,0.5,5,5,-1.0,0.0,0.0,1.0,1.0,1.0,100,1,Complete Physical Attendance,No,,5,,0.3333333333333333,1,-1
Dec-18,Male,Student in College,,0.5,5,2,-1.0,-1.0,0.5,1.0,-1.0,0.5,1000,1111,Complete Physical Attendance,Maybe,,7,,-0.16666666666666666,0,0
19-25,Male,Student in College,,0.5,2,4,0.0,-0.5,-1.0,-0.5,-1.0,-0.5,1010,1100,Complete Physical Attendance,No,,7,,-0.5833333333333334,-1,4
19-25,Male,Student in College,,1.5,2,3,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,1010,1110,Complete Physical Attendance,Maybe,,5,,-0.8333333333333334,-1,0
19-25,Female,Student in College,,0.5,1,1,1.0,1.0,0.5,0.5,1.0,0.5,1110,1,Work/study from home,Yes,,5,,0.75,1,0
Dec-18,Female,Student in College,,0.5,1,2,-1.0,-1.0,1.0,-0.5,0.5,0.5,101,1100,Work/study from home,Yes,,4,,-0.08333333333333333,0,5
Dec-18,Male,Student in College,,1.5,4,4,-0.5,-0.5,0.0,0.5,-0.5,0.0,1000,1011,Complete Physical Attendance,Maybe,,5,,-0.16666666666666666,0,0
19-25,Male,Student in College,,0.5,3,3,0.0,0.5,0.5,1.0,0.5,0.5,1110,1111,Complete Physical Attendance,Yes,,5,,0.5,1,0
19-25,Male,Student in College,,0.5,4,3,-1.0,-1.0,-0.5,0.0,0.0,-1.0,1000,1100,Complete Physical Attendance,Maybe,,7,,-0.5833333333333334,-1,0
19-25,Female,Student in College,,1.5,3,2,0.5,-0.5,-0.5,0.0,0.0,0.0,1000,1100,Complete Physical Attendance,Maybe,,5,,-0.08333333333333333,0,2
Dec-18,Male,Student in College,,0.5,3,2,-0.5,0.0,-0.5,1.0,0.0,0.0,1110,1000,Work/study from home,Yes,,7,,0.0,0,0
19-25,Female,Student in College,,0.5,3,4,-0.5,-1.0,0.0,-0.5,-1.0,-0.5,100,1111,Complete Physical Attendance,No,,5,,-0.5833333333333334,-1,0
33-40,Female,Homemaker,,1.5,4,2,-0.5,-0.5,0.5,0.5,-0.5,-0.5,1000,1100,Complete Physical Attendance,No,,4,,-0.16666666666666666,0,0
19-25,Male,Student in College,,1.5,3,3,0.0,0.0,-0.5,1.0,-0.5,0.0,1111,1110,Complete Physical Attendance,No,,7,,0.0,0,0
Dec-18,Female,Student in School,,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1111,1011,Complete Physical Attendance,Yes,,5,,0.0,0,0
19-25,Male,Student in College,,0.5,4,3,0.0,-0.5,0.0,-1.0,-0.5,0.0,1010,1111,Complete Physical Attendance,No,,9,,-0.3333333333333333,-1,-4
19-25,Male,Student in College,,0.5,1,1,-0.5,-1.0,1.0,0.5,1.0,1.0,1100,1,Work/study from home,Yes,,11,,0.3333333333333333,1,-6
Dec-18,Male,Student in College,,0.5,4,4,-0.5,0.5,0.5,0.5,-0.5,0.0,1110,1011,Complete Physical Attendance,Yes,,9,,0.08333333333333333,0,-4
Dec-18,Male,Student in College,,0.5,4,5,-1.0,-1.0,0.5,1.0,-0.5,0.5,1000,1111,Complete Physical Attendance,Maybe,,7,,-0.08333333333333333,0,-2
Dec-18,Male,Student in College,,0.5,5,2,-1.0,0.0,-1.0,1.0,-1.0,-0.5,10,1111,Complete Physical Attendance,No,,7,,-0.4166666666666667,-1,2
19-25,Male,Student in College,,0.5,2,2,0.0,-0.5,0.5,0.5,-1.0,0.0,100,1111,Work/study from home,Maybe,,5,,-0.08333333333333333,0,0
19-25,Male,Student in College,,0.5,2,1,0.0,-1.0,0.5,0.5,-0.5,0.0,1110,1,Complete Physical Attendance,Maybe,,7,,-0.08333333333333333,0,-2
19-25,Male,Student in College,,3.0,3,3,0.5,-1.0,0.5,0.0,-0.5,-0.5,1001,1,Work/study from home,Yes,,9,,-0.16666666666666666,0,-2
19-25,Male,Student in College,,0.5,1,2,0.5,0.5,0.0,0.5,0.0,0.5,1000,1100,Work/study from home,Yes,,5,,0.3333333333333333,1,2
19-25,Female,Student in College,,0.5,4,4,0.0,0.0,0.5,1.0,1.0,0.0,1000,1000,Complete Physical Attendance,Maybe,,7,,0.4166666666666667,1,0
19-25,Male,Student in College,,0.5,5,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,1111,Complete Physical Attendance,No,,7,,-1.0,-1,4
19-25,Male,Student in College,,0.5,4,2,0.0,0.0,0.5,0.0,-0.5,-0.5,1000,1111,Complete Physical Attendance,Maybe,,5,,-0.08333333333333333,0,2
Dec-18,Male,Student in College,,0.5,5,5,-1.0,-1.0,-1.0,0.5,-0.5,-0.5,100,1,Complete Physical Attendance,No,,5,,-0.5833333333333334,-1,0
19-25,Male,Student in College,,2.5,1,1,0.5,1.0,0.5,1.0,1.0,1.0,1110,1100,Work/study from home,Yes,,11,,0.8333333333333334,1,-4
19-25,Female,Student in College,,0.5,4,5,-0.5,-1.0,0.0,0.0,-1.0,-0.5,10,1101,Complete Physical Attendance,Maybe,,7,,-0.5,-1,-3
19-25,Female,Student in College,,0.5,3,2,-0.5,-0.5,0.5,0.5,0.0,0.5,100,1111,Complete Physical Attendance,Maybe,,7,,0.08333333333333333,0,2
Dec-18,Prefer not to say,Student in School,,1.5,2,4,0.0,-1.0,1.0,0.5,-1.0,-1.0,1001,1111,Work/study from home,Yes,,9,,-0.25,-1,2
19-25,Male,Student in College,,0.5,2,4,-1.0,0.5,1.0,1.0,0.5,1.0,1100,1000,Complete Physical Attendance,No,,11,,0.5,1,-6
19-25,Male,Student in College,,0.5,1,3,0.0,0.0,1.0,1.0,0.5,1.0,1110,1000,Work/study from home,Yes,,5,,0.5833333333333334,1,-1
19-25,Male,Student in College,,0.5,4,3,-1.0,-1.0,-0.5,0.0,-1.0,-0.5,1111,1101,Complete Physical Attendance,No,,7,,-0.6666666666666666,-1,2
19-25,Male,Student in College,,0.5,3,1,0.0,-0.5,1.0,0.5,0.0,0.0,1100,1001,Complete Physical Attendance,Yes,,7,,0.16666666666666666,0,2
19-25,Male,Student in College,,0.5,3,4,-0.5,0.5,1.0,1.0,0.5,0.5,100,1111,Complete Physical Attendance,Maybe,,7,,0.5,1,0
Dec-18,Male,Student in College,,0.5,5,5,-1.0,0.0,0.0,0.0,0.0,0.0,1000,10,Complete Physical Attendance,No,,12,,-0.16666666666666666,0,0
Dec-18,Female,Student in College,,2.5,4,5,-0.5,0.0,-0.5,1.0,0.0,1.0,101,1010,Complete Physical Attendance,No,,11,,0.16666666666666666,0,-4
19-25,Male,Student in College,,2.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1000,1111,Complete Physical Attendance,Maybe,,7,,0.0,0,0
19-25,Male,Student in College,,0.5,4,2,-0.5,-0.5,0.0,0.0,-0.5,-0.5,10,1111,Complete Physical Attendance,No,,5,,-0.3333333333333333,-1,0
19-25,Female,Student in College,,0.5,1,3,0.0,0.0,0.5,0.0,-0.5,-0.5,10,1101,Complete Physical Attendance,Maybe,,5,,-0.08333333333333333,0,-1
19-25,Female,Student in College,,0.5,5,3,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,10,1100,Complete Physical Attendance,No,,5,,-0.9166666666666666,-1,7
Dec-18,Male,Student in College,,0.5,3,4,-0.5,-0.5,0.0,0.0,-1.0,-0.5,100,1000,Complete Physical Attendance,Yes,,5,,-0.4166666666666667,-1,2
19-25,Male,Student in College,,0.5,4,3,0.0,0.5,0.5,0.5,-0.5,0.0,1110,1111,Complete Physical Attendance,Maybe,,5,,0.16666666666666666,0,2
19-25,Female,Student in College,,0.5,4,4,-0.5,-1.0,-0.5,0.0,-0.5,-0.5,101,101,Complete Physical Attendance,No,,5,,-0.5,-1,2
19-25,Female,Student in College,,0.5,4,4,0.5,-1.0,0.5,1.0,0.0,-0.5,1000,1111,Complete Physical Attendance,Yes,,5,,0.08333333333333333,0,2
19-25,Female,Student in College,,3.0,3,3,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,1111,1111,Complete Physical Attendance,Maybe,,7,,-0.3333333333333333,-1,5
19-25,Male,Student in College,,0.5,5,3,0.0,0.5,-0.5,0.5,-0.5,-0.5,10,1000,Work/study from home,Maybe,,5,,-0.08333333333333333,0,4
Dec-18,Male,Student in College,,1.5,4,3,0.0,0.0,0.5,0.5,0.0,0.0,1100,1111,Complete Physical Attendance,Maybe,,7,,0.16666666666666666,0,2
19-25,Male,Student in College,,2.5,2,1,0.5,-1.0,-1.0,0.5,0.5,0.5,1110,1101,Work/study from home,Yes,,7,,0.0,0,4
19-25,Female,Student in College,,1.5,3,3,0.5,-1.0,-0.5,0.0,-1.0,0.0,1100,1101,Complete Physical Attendance,Yes,,9,,-0.3333333333333333,-1,2
19-25,Male,Student in College,,0.5,3,4,0.5,0.0,1.0,1.0,0.5,0.0,1010,1111,Complete Physical Attendance,Yes,,7,,0.5,1,0
Dec-18,Female,Student in College,,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,,0.25,0,-1
Dec-18,Female,Student in College,,0.5,3,3,0.0,-0.5,0.5,1.0,0.0,0.5,1000,1101,Complete Physical Attendance,Maybe,,5,,0.25,0,-1
19-25,Male,Student in College,,0.5,3,3,0.0,-0.5,-0.5,0.0,-0.5,-0.5,1000,1100,Complete Physical Attendance,Maybe,,9,,-0.3333333333333333,-1,3
19-25,Male,Student in College,,0.5,2,2,0.5,-0.5,0.5,1.0,0.0,0.5,1100,1000,Complete Physical Attendance,Yes,,7,,0.3333333333333333,1,-3
19-25,Male,Student in College,,0.5,4,4,0.0,-0.5,0.0,0.0,-0.5,0.0,1000,1101,Complete Physical Attendance,Yes,,7,,-0.16666666666666666,0,-2
19-25,Male,Student in College,,0.5,4,3,-1.0,-0.5,0.0,-0.5,0.0,-1.0,1011,11,Complete Physical Attendance,Yes,,5,,-0.5,-1,2
19-25,Male,Student in College,,1.5,3,3,-0.5,-0.5,0.5,0.0,0.5,1.0,1010,1111,Complete Physical Attendance,Maybe,,7,,0.16666666666666666,0,-3
19-25,Male,Student in College,,0.5,2,5,-1.0,-1.0,1.0,0.5,1.0,1.0,1111,1000,Complete Physical Attendance,Maybe,,5,,0.25,0,-1
